Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Blazing Angels: Squadrons of WWII,X360,2006.0,Simulation,0.36,0.02,0.0,0.03,66.0,7.9,T
Blazing Dragons,PS,1996.0,Adventure,0.08,0.06,0.0,0.01,,,
Blazing Heroes,SAT,1995.0,Role-Playing,0.0,0.0,0.3,0.0,,,
Blazing Souls,PS2,2006.0,Role-Playing,0.0,0.0,0.02,0.0,,,
Blazing Souls: Accelate,PSP,2009.0,Role-Playing,0.04,0.0,0.01,0.0,,7.8,T
Bleach DS 4th: Flame Bringer,DS,2009.0,Action,0.0,0.0,0.03,0.0,,,
Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005.0,Fighting,0.0,0.0,0.08,0.0,,,
Bleach: Blade Battlers,PS2,2006.0,Fighting,0.0,0.0,0.05,0.0,,,
Bleach: Blade Battlers 2nd,PS2,2007.0,Fighting,0.0,0.0,0.06,0.0,,,
Bleach: Dark Souls,DS,2007.0,Fighting,0.12,0.02,0.0,0.01,82.0,7.9,T
Bleach: Dark Souls (JP sales),DS,2007.0,Fighting,0.0,0.0,0.1,0.0,,,
Bleach: Erabareshi Tamashii,PS2,2005.0,Adventure,0.0,0.0,0.08,0.0,,,
Bleach: Hanatareshi Yabou,PS2,2006.0,Role-Playing,0.0,0.0,0.07,0.0,,,
Bleach: Heat the Soul,PSP,2005.0,Fighting,0.0,0.0,0.09,0.0,,,
Bleach: Heat the Soul 3,PSP,2006.0,Fighting,0.0,0.0,0.07,0.0,,,
Bleach: Heat the Soul 4,PSP,2007.0,Fighting,0.0,0.0,0.08,0.0,,,
Bleach: Heat the Soul 5,PSP,2008.0,Fighting,0.0,0.0,0.08,0.0,,,
Bleach: Heat the Soul 6,PSP,2009.0,Fighting,0.0,0.0,0.09,0.0,,,
Bleach: Heat the Soul 7,PSP,2010.0,Fighting,0.0,0.0,0.08,0.0,,,
Bleach: Shattered Blade,Wii,2006.0,Fighting,0.21,0.01,0.08,0.02,58.0,7.5,T
Bleach: Soul Carnival,PSP,2008.0,Fighting,0.0,0.0,0.05,0.0,,,
Bleach: Soul Carnival 2,PSP,2009.0,Fighting,0.0,0.0,0.03,0.0,,,
Bleach: Soul Resurreccion,PS3,2011.0,Fighting,0.27,0.1,0.07,0.05,58.0,7.2,T
Bleach: The 3rd Phantom,DS,2008.0,Role-Playing,0.1,0.02,0.07,0.01,59.0,8,T
Bleach: The Blade of Fate,DS,2006.0,Fighting,0.29,0.01,0.12,0.03,83.0,7.5,T
Bleach: Versus Crusade,Wii,2008.0,Fighting,0.0,0.0,0.06,0.0,,,
Blinx 2: Masters of Time & Space,XB,2004.0,Platform,0.12,0.03,0.0,0.01,,,
Blinx: The Time Sweeper,XB,2002.0,Platform,0.39,0.15,0.0,0.02,71.0,8,E
Blitz: Overtime,PSP,2006.0,Sports,0.09,0.0,0.0,0.01,,7.5,M
Blitz: The League,PS2,2005.0,Sports,0.74,0.03,0.0,0.12,76.0,8,M
Blitz: The League,X360,2006.0,Sports,0.15,0.0,0.0,0.01,69.0,6.5,M
Blitz: The League,XB,2004.0,Sports,0.4,0.11,0.0,0.02,78.0,7.7,M
Blitz: The League II,X360,2008.0,Sports,0.08,0.01,0.0,0.01,68.0,7.2,M
Blitz: The League II,PS3,2008.0,Sports,0.11,0.02,0.0,0.02,62.0,7.5,
Blitzkrieg 2 Anthology,PC,2008.0,Strategy,0.0,0.01,0.0,0.0,,tbd,
Block Kuzushi,SNES,1995.0,Puzzle,0.0,0.0,0.05,0.0,,,
Block Party,Wii,2008.0,Misc,0.14,0.0,0.0,0.01,,2.8,E10+
Blokus Portable: Steambot Championship,PSP,2006.0,Puzzle,0.03,0.0,0.0,0.0,51.0,tbd,E
Blood Bowl,X360,2009.0,Sports,0.13,0.02,0.0,0.01,61.0,5.1,T
Blood Bowl,PC,2009.0,Sports,0.02,0.02,0.0,0.0,72.0,6.5,T
Blood Bowl: Legendary Edition,PC,2010.0,Sports,0.0,0.01,0.0,0.0,73.0,6.4,T
Blood Drive,PS3,2010.0,Racing,0.07,0.0,0.0,0.01,47.0,7,M
Blood Drive,X360,2010.0,Racing,0.09,0.01,0.0,0.01,40.0,6.5,M
Blood of Bahamut,DS,2009.0,Role-Playing,0.0,0.0,0.09,0.0,,,
Blood Omen 2,XB,2002.0,Action,0.14,0.04,0.0,0.01,76.0,9,M
Blood Omen 2,PS2,2002.0,Action,0.19,0.15,0.0,0.05,67.0,8.8,M
Blood Omen 2,GC,2002.0,Action,0.04,0.01,0.0,0.0,71.0,tbd,M
Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,0.25,0.17,0.0,0.03,,,
Blood Wake,XB,2001.0,Shooter,0.43,0.12,0.0,0.02,71.0,7.5,T
Blood Will Tell: Tezuka Osamu's Dororo,PS2,2004.0,Adventure,0.02,0.02,0.0,0.01,,,
Blood: The Last Vampire (Joukan),PS2,2000.0,Adventure,0.0,0.0,0.09,0.0,,,
Bloodborne,PS4,2015.0,Action,01.03,0.81,0.26,0.38,92.0,8.6,M
BloodRayne,XB,2002.0,Shooter,0.16,0.05,0.0,0.01,76.0,7.5,M
BloodRayne,PS2,2002.0,Shooter,0.2,0.16,0.0,0.05,75.0,8.5,M
BloodRayne,GC,2002.0,Shooter,0.09,0.02,0.0,0.0,73.0,8.5,M
BloodRayne 2,PS2,2004.0,Shooter,0.13,0.1,0.0,0.03,70.0,8.5,M
BloodRayne 2,XB,2004.0,Shooter,0.11,0.03,0.0,0.01,71.0,8.5,M
Bloody Roar,PS,1997.0,Fighting,0.22,0.15,0.0,0.03,,,
Bloody Roar 3,PS2,2001.0,Fighting,0.15,0.11,0.05,0.04,71.0,8.6,T
Bloody Roar 4,PS2,2003.0,Fighting,0.05,0.04,0.0,0.01,59.0,8.6,M
Bloody Roar Extreme,XB,2003.0,Fighting,0.03,0.01,0.0,0.0,61.0,8.6,T
Bloody Roar II,PS,1999.0,Fighting,0.25,0.17,0.0,0.03,,,
Bloody Roar: Primal Fury,GC,2002.0,Fighting,0.14,0.04,0.0,0.0,75.0,8.5,T
BlowOut,PS2,2003.0,Shooter,0.11,0.09,0.0,0.03,58.0,6.2,T
BlowOut,XB,2003.0,Shooter,0.04,0.01,0.0,0.0,55.0,tbd,T
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996.0,Role-Playing,0.0,0.0,0.03,0.0,,,
Blue Dragon,X360,2006.0,Role-Playing,0.3,0.32,0.21,0.08,79.0,7.8,T
Blue Dragon Plus,DS,2008.0,Role-Playing,0.12,0.03,0.05,0.01,69.0,6.5,E
Blue Dragon: Awakened Shadow,DS,2009.0,Role-Playing,0.06,0.0,0.03,0.0,63.0,6.6,E10+
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010.0,Adventure,0.0,0.0,0.04,0.0,,,
Blue Stinger,DC,1999.0,Adventure,0.0,0.0,0.1,0.0,,,
Blue's Clues: Blue's Big Musical,PS,2001.0,Misc,0.28,0.19,0.0,0.03,,,
Blues Brothers 2000,N64,2000.0,Platform,0.04,0.01,0.0,0.0,,,
Blur,PS3,2010.0,Racing,0.22,0.36,0.02,0.12,81.0,8.2,E10+
Blur,X360,2010.0,Racing,0.25,0.27,0.0,0.06,82.0,8.3,E10+
Blur,PC,2010.0,Racing,0.01,0.04,0.0,0.01,81.0,7.4,E10+
BMX XXX,GC,2002.0,Sports,0.05,0.01,0.0,0.0,60.0,5,M
BMX XXX,PS2,2002.0,Sports,0.07,0.06,0.0,0.02,54.0,4.6,M
BMX XXX,XB,2002.0,Sports,0.08,0.02,0.0,0.0,58.0,7.8,M
Board Game Classics,GBA,2005.0,Misc,0.06,0.02,0.0,0.0,,tbd,E
Board Game: Top Shop,PS,1999.0,Misc,0.01,0.01,0.0,0.0,,,
Bob the Builder: Can We Fix It?,PS,2000.0,Action,0.31,0.21,0.0,0.04,,,
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,GBA,2002.0,Action,0.0,0.0,0.03,0.0,,,
Bode Miller Alpine Skiing,PS2,2006.0,Sports,0.01,0.01,0.0,0.0,,6.6,E
Body and Brain Connection,X360,2010.0,Misc,0.1,0.08,0.0,0.02,57.0,4.8,E
Body Harvest,N64,1998.0,Shooter,0.16,0.04,0.0,0.0,,,
Bodycount,PS3,2011.0,Shooter,0.05,0.05,0.0,0.02,50.0,3.5,M
Bodycount,X360,2011.0,Shooter,0.07,0.03,0.0,0.01,53.0,4.7,M
Bogey: Dead 6,PS,1996.0,Simulation,0.05,0.04,0.0,0.01,,,
Boing! Docomodake DS,DS,2007.0,Puzzle,0.04,0.0,0.0,0.0,,,
Boktai 2: Solar Boy Django,GBA,2004.0,Role-Playing,0.03,0.01,0.0,0.0,78.0,8.5,T
Boktai: The Sun is in Your Hand,GBA,2003.0,Role-Playing,0.1,0.04,0.0,0.0,83.0,9.6,E
Boku no Natsuyasumi,PS,2000.0,Adventure,0.0,0.0,0.37,0.03,,,
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002.0,Adventure,0.0,0.0,0.41,0.0,,,
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007.0,Adventure,0.0,0.0,0.08,0.0,,,
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009.0,Adventure,0.0,0.0,0.19,0.0,,,
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010.0,Adventure,0.0,0.0,0.07,0.0,,,
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,2006.0,Adventure,0.0,0.0,0.1,0.0,,,
Bolt,X360,2008.0,Adventure,0.18,0.05,0.0,0.02,57.0,7.1,E10+
Bolt,Wii,2008.0,Adventure,0.19,0.31,0.0,0.06,50.0,5.8,E10+
Bolt,PS3,2008.0,Adventure,0.12,0.04,0.0,0.02,59.0,6.8,E10+
Bolt,PS2,2008.0,Adventure,0.09,0.02,0.0,0.16,,tbd,E10+
Bolt,DS,2008.0,Adventure,0.35,0.21,0.0,0.06,,,
Bombastic,PS2,2002.0,Puzzle,0.03,0.02,0.0,0.01,72.0,7.2,E
Bomberman,PSP,2006.0,Puzzle,0.14,0.0,0.0,0.01,73.0,7,E
Bomberman,DS,2005.0,Puzzle,0.1,0.01,0.03,0.01,75.0,7,E
Bomberman,NES,1985.0,Puzzle,0.18,0.0,0.85,0.0,,,
Bomberman,Wii,2008.0,Puzzle,0.0,0.0,0.01,0.0,,,
Bomberman (jp sales),PSP,2006.0,Puzzle,0.0,0.0,0.01,0.0,,,
Bomberman 2,DS,2008.0,Puzzle,0.0,0.01,0.0,0.0,,,
Bomberman 64,N64,1997.0,Puzzle,0.5,0.2,0.31,0.03,,,
Bomberman 64: The Second Attack!,N64,1999.0,Adventure,0.05,0.01,0.11,0.0,,,
Bomberman B-Daman,SNES,1996.0,Shooter,0.0,0.0,0.17,0.0,,,
Bomberman Fantasy Race,PS,1998.0,Racing,0.01,0.01,0.0,0.0,,,
Bomberman Generation,GC,2002.0,Adventure,0.15,0.04,0.06,0.01,81.0,8.5,E
Bomberman Hero,N64,1998.0,Platform,0.27,0.06,0.08,0.05,,,
Bomberman II,NES,1991.0,Puzzle,0.16,0.03,0.15,0.1,,,
Bomberman Jetters,GC,2002.0,Puzzle,0.06,0.02,0.0,0.0,70.0,7.9,E
Bomberman Land,Wii,2007.0,Misc,0.11,0.01,0.03,0.01,57.0,8,E
Bomberman Land,PSP,2007.0,Misc,0.06,0.0,0.0,0.0,55.0,7.8,E
Bomberman Land,PS,2000.0,Misc,0.0,0.0,0.15,0.01,,,
Bomberman Land Touch!,DS,2006.0,Puzzle,0.04,0.0,0.04,0.0,,,
Bomberman Land Touch! 2,DS,2007.0,Puzzle,0.13,0.0,0.01,0.01,,,
Bomberman Max 2: Blue Advance,GBA,2002.0,Puzzle,0.07,0.02,0.0,0.0,75.0,tbd,E
Bomberman Max 2: Red Advance,GBA,2002.0,Puzzle,0.05,0.02,0.0,0.0,75.0,tbd,E
Bomberman Party Edition,PS,1998.0,Puzzle,0.07,0.05,0.0,0.01,79.0,8.3,E
Bomberman Story DS,DS,2007.0,Role-Playing,0.0,0.0,0.02,0.0,,,
Bomberman Tournament,GBA,2001.0,Puzzle,0.1,0.04,0.1,0.01,88.0,,E
Bomberman World,PS,1998.0,Puzzle,0.06,0.04,0.22,0.02,,,
Bomberman: Act Zero,X360,2006.0,Puzzle,0.04,0.0,0.0,0.0,34.0,2.2,T
Boogie,Wii,2007.0,Misc,0.43,0.03,0.0,0.04,57.0,5.3,E10+
Boogie,DS,2007.0,Misc,0.24,0.0,0.0,0.02,58.0,tbd,E10+
Boogie,PS2,2007.0,Misc,0.09,0.07,0.0,0.02,52.0,tbd,E10+
Boogie SuperStar,Wii,2008.0,Misc,0.2,0.02,0.0,0.02,,8.6,E10+
Book of Spells,PS3,2012.0,Action,0.14,0.39,0.0,0.15,,,
Bookworm,DS,2009.0,Puzzle,0.3,0.01,0.0,0.02,80.0,tbd,E
Bookworm,GBA,2004.0,Puzzle,0.02,0.01,0.0,0.0,62.0,,E
Bookworm Deluxe,PC,2006.0,Puzzle,0.01,0.0,0.0,0.0,,8,E
Boom Blox,Wii,2008.0,Puzzle,0.71,0.38,0.0,0.12,85.0,8.6,E
Boom Blox Bash Party,Wii,2009.0,Puzzle,0.33,0.09,0.0,0.04,86.0,8.4,E
BoomBots,PS,1999.0,Fighting,0.06,0.04,0.0,0.01,,,
Boot Camp Academy,Wii,2010.0,Action,0.03,0.0,0.0,0.0,,tbd,E10+
Borderlands,X360,2009.0,Shooter,2.4,0.71,0.03,0.29,84.0,8.2,M
Borderlands,PC,2009.0,Shooter,0.01,0.14,0.0,0.03,81.0,7.8,M
Borderlands,PS3,2009.0,Shooter,1.2,0.6,0.0,0.29,83.0,7.9,M
Borderlands 2,X360,2012.0,Shooter,1.89,0.88,0.04,0.25,89.0,8.2,M
Borderlands 2,PS3,2012.0,Shooter,01.05,0.72,0.1,0.35,91.0,8.2,M
Borderlands 2,PC,2012.0,Shooter,0.42,0.41,0.0,0.1,89.0,8.2,M
Borderlands 2,PSV,2014.0,Shooter,0.32,0.16,0.01,0.15,64.0,7.6,M
Borderlands: Double Game Add-On Pack,X360,2010.0,Shooter,0.1,0.02,0.0,0.01,,tbd,M
Borderlands: The Handsome Collection,PS4,2015.0,Shooter,0.38,0.33,0.03,0.14,82.0,7.8,M
Borderlands: The Handsome Collection,XOne,2015.0,Shooter,0.26,0.13,0.0,0.04,80.0,7.8,M
Borderlands: The Pre-Sequel,PC,2014.0,Shooter,0.11,0.15,0.0,0.02,75.0,6.2,M
Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,0.26,0.21,0.05,0.1,77.0,6.3,M
Borderlands: The Pre-Sequel,X360,2014.0,Shooter,0.46,0.19,0.01,0.07,74.0,6.4,M
Botanicula,PC,2012.0,Adventure,0.0,0.02,0.0,0.0,82.0,8.3,
Bottom of the 9th,N64,1999.0,Sports,0.37,0.0,0.0,0.0,,,
Bottom of the 9th,PS,1996.0,Sports,0.08,0.05,0.0,0.01,,,
Bottom of the 9th '97,PS,1997.0,Sports,0.01,0.01,0.0,0.0,,,
Bottom of the 9th '99,PS,1998.0,Sports,0.03,0.02,0.0,0.0,,,
Boulder Dash: Rocks!,DS,2007.0,Puzzle,0.0,0.03,0.0,0.0,,,
Bound By Flame,PS4,2014.0,Role-Playing,0.08,0.09,0.0,0.03,53.0,5.9,M
Bounty Hounds,PSP,2006.0,Action,0.03,0.0,0.0,0.0,63.0,6,T
Boxer's Road,PS,1995.0,Fighting,0.0,0.0,0.33,0.02,,,
Boxing,2600,1980.0,Fighting,0.72,0.04,0.0,0.01,,,
Boxing,PS,2000.0,Fighting,0.04,0.03,0.0,0.0,,,
Boxing Fever,GBA,2001.0,Sports,0.06,0.02,0.0,0.0,76.0,tbd,E
BRAHMA Force: The Assault on Beltlogger 9,PS,1996.0,Shooter,0.02,0.01,0.0,0.0,,,
Braid,PC,2009.0,Platform,0.0,0.02,0.0,0.0,90.0,8.6,E10+
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,3.43,5.35,5.32,1.18,77.0,7.1,E
Brain Age: Concentration Training,3DS,2012.0,Puzzle,0.09,0.0,0.0,0.01,71.0,7.9,E
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,4.74,9.2,4.16,02.04,77.0,7.9,E
Brain Assist,DS,2007.0,Misc,0.12,0.0,0.0,0.01,53.0,tbd,E
Brain Boost: Beta Wave,DS,2005.0,Puzzle,0.14,0.0,0.0,0.01,39.0,2.5,E
Brain Boost: Gamma Wave,DS,2005.0,Puzzle,0.14,0.0,0.0,0.01,40.0,tbd,E
Brain Challenge,DS,2008.0,Misc,0.41,0.0,0.0,0.03,68.0,7,E
Brain Dead 13,PS,1996.0,Adventure,0.01,0.01,0.0,0.0,,,
Brain Exercise With Dr. Kawashima,PC,2009.0,Puzzle,0.0,0.01,0.0,0.0,,,
Brain Quest: Grades 3 & 4,DS,2008.0,Misc,0.05,0.0,0.0,0.0,,,
Brain Quest: Grades 5 & 6,DS,2008.0,Misc,0.1,0.0,0.0,0.01,,,
Brain Voyage,DS,2008.0,Puzzle,0.06,0.01,0.0,0.01,52.0,tbd,E
Brandish: The Dark Revenant,PSP,2009.0,Role-Playing,0.0,0.0,0.02,0.0,78.0,8.3,T
Bratz,GBA,2002.0,Platform,0.1,0.04,0.0,0.0,,tbd,E
Bratz 4 Real,DS,2007.0,Adventure,0.29,0.22,0.0,0.06,,tbd,E
Bratz Kidz,Wii,2008.0,Misc,0.16,0.0,0.0,0.01,,tbd,E
Bratz Kidz,DS,2008.0,Misc,0.03,0.0,0.0,0.0,,tbd,E
Bratz Ponyz,DS,2007.0,Adventure,0.26,0.0,0.0,0.02,,tbd,E
Bratz Ponyz 2,DS,2008.0,Adventure,0.24,0.0,0.0,0.02,,tbd,E
Bratz: Forever Diamondz,DS,2006.0,Adventure,0.43,0.88,0.0,0.18,,6.5,E
Bratz: Forever Diamondz,GC,2006.0,Adventure,0.17,0.04,0.0,0.01,,tbd,E
Bratz: Forever Diamondz,PS2,2006.0,Adventure,0.01,0.01,0.0,0.0,,tbd,E
Bratz: Girlz Really Rock,PS2,2008.0,Action,0.11,0.09,0.0,0.03,,8.4,E
Bratz: Girlz Really Rock,DS,2008.0,Action,0.18,0.11,0.0,0.03,,tbd,E
Bratz: Girlz Really Rock,Wii,2008.0,Action,0.19,0.0,0.0,0.02,,tbd,E
Bratz: Rock Angelz,PS2,2005.0,Misc,0.19,0.15,0.0,0.05,60.0,5.1,E
Bratz: Rock Angelz,GC,2005.0,Misc,0.16,0.04,0.0,0.01,,tbd,E
Bratz: Rock Angelz,GBA,2004.0,Misc,0.39,0.14,0.0,0.01,,,E
Bratz: Super Babyz,DS,2008.0,Action,0.26,0.0,0.0,0.02,50.0,tbd,E
Bratz: The Movie,PS2,2007.0,Simulation,0.24,0.18,0.0,0.06,,5,E
Bratz: The Movie,Wii,2007.0,Simulation,0.23,0.01,0.0,0.02,,5,E
Brave Fencer Musashi,PS,1998.0,Role-Playing,0.25,0.17,0.65,0.07,81.0,8.5,E
Brave Story: Boku no Kioku to Negai,DS,2006.0,Role-Playing,0.0,0.0,0.02,0.0,,,
Brave Story: New Traveler (US sales),PSP,2006.0,Role-Playing,0.11,0.0,0.0,0.0,,,
Brave Story: New Traveller (jp sales),PSP,2006.0,Role-Playing,0.0,0.0,0.05,0.0,,,
Brave: A Warrior's Tale,X360,2009.0,Action,0.05,0.01,0.0,0.0,42.0,5,E10+
Brave: A Warrior's Tale,Wii,2009.0,Action,0.05,0.0,0.0,0.0,48.0,tbd,E10+
Brave: The Video Game,DS,2012.0,Action,0.0,0.01,0.0,0.0,,tbd,E10+
Brave: The Video Game,Wii,2012.0,Action,0.0,0.01,0.0,0.0,,,
Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,0.5,0.32,0.49,0.08,,,
Bravely Second: End Layer,3DS,2015.0,Role-Playing,0.17,0.1,0.18,0.03,81.0,7.4,T
Bravo Air Race,PS,1997.0,Racing,0.08,0.05,0.0,0.01,,,
Breach,PC,2011.0,Shooter,0.01,0.0,0.0,0.0,61.0,5.8,T
Break 'Em All,DS,2005.0,Puzzle,0.11,0.0,0.0,0.01,68.0,tbd,E
Breakaway IV,2600,,Puzzle,0.2,0.01,0.0,0.0,,,
Breakdown,XB,2004.0,Adventure,0.09,0.03,0.0,0.0,71.0,8.2,M
Breakout,PS,1999.0,Puzzle,0.06,0.04,0.0,0.01,,tbd,E
Breath of Fire,GBA,2001.0,Role-Playing,0.11,0.04,0.06,0.0,79.0,8.8,E
Breath of Fire II,GBA,2001.0,Role-Playing,0.14,0.05,0.0,0.0,81.0,8.8,E
Breath of Fire II,SNES,1994.0,Role-Playing,0.0,0.0,0.36,0.0,,,
Breath of Fire III,PSP,2005.0,Role-Playing,0.0,0.02,0.0,0.01,,9.7,T
Breath of Fire III,PS,1997.0,Role-Playing,0.29,0.19,0.46,0.07,,,
Breath of Fire IV,PS,2000.0,Role-Playing,0.11,0.08,0.34,0.04,83.0,8.9,T
Breath of Fire: Dragon Quarter,PS2,2002.0,Role-Playing,0.09,0.07,0.0,0.02,78.0,6.9,T
Breeding Stud 2,PS,1998.0,Sports,0.0,0.0,0.04,0.0,,,
Brian Lara Cricket,PS,1998.0,Sports,0.02,1.13,0.01,0.1,,,
Bridge,2600,1980.0,Misc,0.25,0.02,0.0,0.0,,,
Brigandine: The Legend of Forsena,PS,1998.0,Strategy,0.05,0.03,0.0,0.01,,,
Brink,PC,2011.0,Shooter,0.06,0.09,0.0,0.03,70.0,6,T
Brink,X360,2011.0,Shooter,0.59,0.35,0.01,0.09,68.0,5.8,T
Brink,PS3,2011.0,Shooter,0.29,0.32,0.01,0.12,72.0,5.8,T
Britney's Dance Beat,GBA,2002.0,Misc,0.15,0.06,0.0,0.0,53.0,7.4,E
Britney's Dance Beat,PS2,2002.0,Misc,0.12,0.09,0.0,0.03,63.0,4.8,E
Broken Helix,PS,1997.0,Action,0.03,0.02,0.0,0.0,,,
Broken Sword 5: The Serpent's Curse,PS4,2015.0,Adventure,0.0,0.06,0.0,0.01,72.0,7.2,T
Broken Sword 5: The Serpent's Curse,XOne,2015.0,Adventure,0.0,0.02,0.0,0.0,77.0,7.2,T
Broken Sword II: The Smoking Mirror,PS,1997.0,Adventure,0.03,0.02,0.0,0.0,,,
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009.0,Adventure,0.11,0.1,0.0,0.02,74.0,8.1,T
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009.0,Adventure,0.07,0.08,0.0,0.02,,,
Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,0.04,0.02,0.0,0.0,80.0,7.8,T
Broken Sword: The Sleeping Dragon,XB,2003.0,Adventure,0.01,0.0,0.0,0.0,77.0,8.3,T
Brooktown High: Senior Year,PSP,2007.0,Simulation,0.09,0.0,0.0,0.01,51.0,tbd,T
Brothers Conflict: Brilliant Blue,PSP,2013.0,Adventure,0.0,0.0,0.03,0.0,,,
Brothers Conflict: Passion Pink,PSP,2012.0,Action,0.0,0.0,0.03,0.0,,,
Brothers In Arms DS,DS,2007.0,Shooter,0.03,0.0,0.0,0.0,72.0,8,T
Brothers In Arms: D-Day,PSP,2006.0,Shooter,0.23,0.14,0.0,0.09,65.0,9.1,M
Brothers in Arms: Double Time,Wii,2008.0,Shooter,0.11,0.0,0.0,0.01,45.0,6.6,M
Brothers In Arms: Earned in Blood,XB,2005.0,Shooter,0.23,0.07,0.0,0.01,85.0,8.6,M
Brothers In Arms: Earned in Blood,PS2,2005.0,Shooter,0.38,0.01,0.0,0.06,71.0,7.9,M
Brothers in Arms: Furious 4,PS3,2012.0,Shooter,0.01,0.05,0.0,0.01,,,M
Brothers in Arms: Furious 4,X360,,Shooter,0.01,0.0,0.0,0.0,,,M
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,0.44,0.34,0.0,0.15,76.0,8,M
Brothers in Arms: Hell's Highway,X360,2008.0,Shooter,0.47,0.3,0.0,0.09,76.0,8.3,M
Brothers in Arms: Hell's Highway,PC,2008.0,Shooter,0.0,0.02,0.0,0.0,79.0,7.9,M
Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,0.49,0.14,0.0,0.02,88.0,8,M
Brothers In Arms: Road to Hill 30,PS2,2005.0,Shooter,0.38,0.01,0.0,0.06,82.0,7.6,M
Brothers: A Tale of Two Sons,PS4,2015.0,Adventure,0.03,0.08,0.0,0.02,81.0,8.6,T
Brothers: A Tale of Two Sons,XOne,2015.0,Adventure,0.03,0.01,0.0,0.0,81.0,8.9,T
Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,0.23,0.07,0.0,0.01,32.0,2.4,T
Brunswick Circuit Pro Bowling,PS,1998.0,Sports,0.1,0.07,0.0,0.01,,,
Brunswick Circuit Pro Bowling,N64,1999.0,Sports,0.05,0.01,0.0,0.0,,,
Brunswick Circuit Pro Bowling 2,PS,2000.0,Sports,0.06,0.04,0.0,0.01,,,
Brunswick Cosmic Bowling,Wii,2010.0,Sports,0.16,0.0,0.0,0.01,,tbd,E
Brunswick Pro Bowling,PSP,2007.0,Sports,0.19,0.0,0.0,0.02,,7.3,E
Brunswick Pro Bowling,Wii,2007.0,Sports,0.35,0.01,0.0,0.03,52.0,5.4,E
Brunswick Pro Bowling,X360,2010.0,Sports,0.38,0.04,0.0,0.03,44.0,tbd,E
Brunswick Pro Bowling,PS2,2007.0,Sports,0.2,0.15,0.0,0.05,,tbd,E
Brunswick Pro Bowling,PS3,2010.0,Sports,0.1,0.05,0.0,0.02,47.0,tbd,E
Brunswick Pro Bowling,3DS,2011.0,Sports,0.11,0.0,0.0,0.01,,tbd,E
Brutal Legend,X360,2009.0,Action,0.62,0.26,0.0,0.09,82.0,8,M
Brutal Legend,PS3,2009.0,Action,0.54,0.27,0.0,0.13,83.0,7.6,M
Brute Force,XB,2003.0,Shooter,0.62,0.18,0.01,0.03,77.0,7.8,M
Bubble Bobble also featuring Rainbow Islands,PS,1995.0,Puzzle,0.04,0.02,0.0,0.0,,,
Bubble Bobble Double Shot,DS,2007.0,Puzzle,0.03,0.0,0.0,0.0,50.0,4.8,E
Bubble Bobble Evolution,PSP,2006.0,Puzzle,0.03,0.0,0.0,0.0,47.0,tbd,E
Bubble Bobble Revolution,DS,2005.0,Puzzle,0.04,0.0,0.0,0.0,38.0,6.2,E
Bubble Bobble: Old & New,GBA,2002.0,Puzzle,0.04,0.02,0.0,0.0,,,
Bubsy 3D,PS,1996.0,Platform,0.1,0.07,0.0,0.01,,,
Buck Bumble,N64,1998.0,Action,0.13,0.03,0.0,0.0,,,
Buck Fever,Wii,2009.0,Sports,0.13,0.0,0.0,0.01,,tbd,T
Buffy the Vampire Slayer,XB,2002.0,Action,0.18,0.05,0.0,0.01,79.0,9.1,T
Buffy the Vampire Slayer: Chaos Bleeds,GC,2003.0,Action,0.02,0.01,0.0,0.0,75.0,9,T
Buffy the Vampire Slayer: Chaos Bleeds,XB,2003.0,Action,0.09,0.03,0.0,0.0,73.0,8.4,T
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,0.09,0.07,0.0,0.02,72.0,8.9,T
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003.0,Action,0.02,0.01,0.0,0.0,44.0,8.6,T
Bugriders: The Race of Kings,PS,1997.0,Racing,0.01,0.01,0.0,0.0,,,
